name;dateTimeStart;dateTimeEnd
test;2013-07-22 10:49:00;2013-07-22 11:54:00
monaco_1;2013-07-22 15:20:57;2013-07-22 17:26:57
monaco_2;2013-07-22 20:37:00;2013-07-22 23:04:00
along_current_1;2013-07-23 00:23:00;2013-07-23 02:31:02
along_current_2;2013-07-23 03:15:00;2013-07-23 07:48:34
cross_current_1;2013-07-23 09:27:00;2013-07-23 17:03:00
cross_current_2;2013-07-23 21:49:00;2013-07-24 05:07:00
cross_current_3;2013-07-24 06:41:00;2013-07-24 13:14:00
along_current_3;2013-07-24 15:49:47;2013-07-24 17:54:00
along_current_4;2013-07-24 19:09:15;2013-07-24 21:25:30
cross_current_4;2013-07-24 22:40:41;2013-07-25 05:35:00
cross_current_5;2013-07-25 06:34:00;2013-07-25 15:21:00
along_current_5;2013-07-26 17:40:16;2013-07-26 19:05:30
along_current_6;2013-07-26 20:13:34;2013-07-26 22:03:04
lagrangian_1;2013-07-26 23:33:52;2013-07-27 01:10:00
lagrangian_2;2013-07-27 01:28:00;2013-07-27 03:38:10
lagrangian_3;2013-07-27 03:51:39;2013-07-27 05:16:17
lagrangian_4;2013-07-27 05:46:57;2013-07-27 07:22:21
lagrangian_5;2013-07-27 07:46:00;2013-07-27 09:22:37
lagrangian_6;2013-07-27 09:50:00;2013-07-27 11:41:39
lagrangian_7;2013-07-27 12:02:00;2013-07-27 13:54:00
lagrangian_8;2013-07-27 14:13:12;2013-07-27 14:51:52
lagrangian_9;2013-07-27 17:22:46;2013-07-27 19:13:34
lagrangian_11;2013-07-27 21:35:22;2013-07-27 22:22:00
lagrangian_12;2013-07-27 22:45:57;2013-07-28 00:07:10
lagrangian_13;2013-07-28 00:24:46;2013-07-28 02:33:07
lagrangian_14;2013-07-28 02:58:39;2013-07-28 04:32:21
lagrangian_15;2013-07-28 05:25:38;2013-07-28 07:23:23
cross_current_6;2013-07-28 12:00:00;2013-07-28 18:51:16
cross_current_7;2013-07-28 22:06:25;2013-07-29 05:36:52
along_current_7;2013-07-29 07:35:09;2013-07-29 09:18:02
